NAME,ICAO,IATA,SYNOP,LAT,LONG,ELEV,COUNTRY
GA TOCCOA          ,KTOC,TOC,     ,34.36N,083.18W,304,US
GA TOCCOA VOR      ,KODF,ODF,     ,34.42N,083.18W,567,US
GA VALDOSTA REGIONA,KVLD,VLD,     ,30.47N,083.16W,62,US
GA VIDALIA MUNI    ,KVDI,VDI,     ,32.12N,082.22W,84,US
GA WARNER ROBINS AF,KWRB,WRB,     ,32.37N,083.35W,90,US
GA WASHINGTON      ,KIIY,IIY,     ,33.47N,082.49W,197,US
GA WAYCROSS/WARE CO,KAYS,AYS,72213,31.15N,082.24W,46,US
GA WINDER/BARROW   ,KWDR,WDR,     ,33.59N,083.40W,287,US
GA BLAKELY EARLY C ,K11J,11J,     ,31.24N,084.54W,65,US
GA CANTON/CHEROKEE ,K47A,47A,     ,34.19N,084.25W,372,US
GA COVINGTON       ,K9A1,9A1,     ,33.38N,083.51W,247,US
GA ELBERTON PATZ F ,K27A,27A,     ,34.06N,082.49W,184,US
GA JEFFERSON       ,K19A,19A,     ,34.11N,083.34W,290,US
GA SAVANNAH LIGHT  ,    ,   ,99438,31.57N,080.19W,1,US
HI BARKING SANDS/KA,PHBK,BKH,91162,22.02N,159.47W,8,US
HI BRADSHAW AAF/HAW,PHSF,BSF,     ,19.46N,155.33W,1887,US
HI HANA            ,PHHN,HNM,91199,20.48N,156.01W,24,US
HI HICKAM AFB      ,PHIK,HIK,     ,21.19N,157.56W,4,US
HI HICKAM AWC      ,PHWR,HWR,     ,21.19N,157.56W,4,US
HI HILO            ,PHTO,ITO,91285,19.43N,155.03W,12,US
HI HONOLULU        ,PHNL,HNL,91182,21.20N,157.55W,4,US
HI HONOLULU/WFO    ,PHFO,HFO,     ,21.19N,157.55W,4,US
HI HONOLULU/ARTCC  ,PZHN,ZHN,     ,21.19N,157.55W,4,US
HI KAANAPALI       ,PHKP,HKP,91189,20.56N,156.42W,3,US
HI KAHULUI         ,PHOG,OGG,91190,20.54N,156.26W,12,US
HI KAILUA/KONA     ,PHKO,KOA,     ,19.44N,156.03W,27,US
HI KALAUPAPA       ,PHLU,LUP,     ,21.13N,156.58W,7,US
HI KAMUELA/WAIMEA  ,PHMU,MUE,     ,20.00N,155.40W,817,US
HI KOHALA 88D      ,PHKM,HKM,     ,20.08N,155.47W,1162,US
HI KANEOHE MCAS    ,PHNG,NGF,91176,21.26N,157.46W,3,US
HI KOKEE           ,PHAC,HAC,91161,22.09N,159.39W,1280,US
HI KALAELOA        ,PHJR,JRF,91178,21.19N,158.04W,15,US
HI LAHAINA/WEST MAU,PHJH,JHM,     ,20.58N,156.40W,78,US
HI LANAI CITY AIRPO,PHNY,LNY,     ,20.46N,156.56W,399,US
HI LIHUE/KAUAI IS  ,PHLI,LIH,91165,21.58N,159.20W,45,US
HI MOLOKAI/KUKUI   ,PHMO,HMO,     ,21.08N,157.11W,415,US
HI MOLOKAI         ,PHMK,MKK,91186,21.09N,157.06W,141,US
HI NAALEHU/S HAWAII,PHWA,HWA,     ,19.06N,155.34W,421,US
HI NUMILA/S KAUAI  ,PHKI,HKI,     ,21.54N,159.33W,55,US
HI UPOLU           ,PHUP,UPP,     ,20.16N,155.52W,30,US
HI PEARL HARBOR    ,PHNC,HNC,     ,21.21N,157.56W,1,US
HI WHEELER AFB/OAHU,PHHI,HHI,91170,21.29N,158.03W,255,US
HI FR FRIGATE SHOAL,    ,1Z6,91155,23.52N,166.17W,2,US
HI BARBERS PT NAS  ,PHNA,NAX,     ,21.19N,158.04W,15,US
HI MIDWAY ISLAND NA,PMDY,MDY,91066,28.13N,177.22W,4,US
IA ALGONA          ,KAXA,AXA,     ,43.04N,094.16W,372,US
IA AMES            ,KAMW,AMW,     ,41.59N,093.37W,279,US
IA ANKENY          ,KIKV,IKV,     ,41.41N,093.34W,275,US
IA ATLANTIC        ,KAIO,AIO,     ,41.23N,095.02W,360,US
IA AUDUBON         ,KADU,ADU,     ,41.42N,094.55W,392,US
IA BOONE MUNI      ,KBNW,BNW,     ,42.02N,093.50W,354,US
IA BURLINGTON      ,KBRL,BRL,     ,40.46N,091.08W,211,US
IA CARROLL         ,KCIN,CIN,     ,42.02N,094.46W,375,US
IA CEDAR RAPIDS    ,KCID,CID,72545,41.53N,091.43W,264,US
IA CENTERVILLE MUNI,KTVK,TVK,     ,40.41N,092.54W,314,US
IA CHARITON        ,KCNC,CNC,     ,41.01N,093.22W,320,US
IA CHARLES CITY    ,KCCY,CCY,     ,43.04N,092.37W,343,US
IA CHEROKEE        ,KCKP,CKP,     ,42.44N,095.33W,374,US
IA CLARINDA        ,KICL,ICL,     ,40.43N,095.01W,303,US
IA CLARION         ,KCAV,CAV,     ,42.45N,093.46W,354,US
IA CLINTON MUNI    ,KCWI,CWI,     ,41.49N,090.19W,216,US
IA COUNCIL BLUFFS  ,KCBF,CBF,     ,41.16N,095.46W,382,US
IA CRESTON         ,KCSQ,CSQ,     ,41.01N,094.22W,394,US
IA DAVENPORT/QUAD C,KDVN,DVN,74455,41.37N,090.35W,230,US
IA DECORAH         ,KDEH,DEH,     ,43.16N,091.43W,353,US
IA DENISON         ,KDNS,DNS,     ,41.58N,095.22W,388,US
IA DES MOINES      ,KDSM,DSM,72546,41.32N,093.40W,295,US
IA DUBUQUE         ,KDBQ,DBQ,72547,42.24N,090.42W,326,US
IA ESTHERVILLE     ,KEST,EST,     ,43.24N,094.45W,401,US
IA FAIRFIELD       ,KFFL,FFL,     ,41.02N,091.58W,244,US
IA FOREST CITY     ,KFXY,FXY,     ,43.14N,093.37W,375,US
IA FORT DODGE      ,KFOD,FOD,72549,42.32N,094.10W,355,US
IA FORT MADISON    ,KFSW,FSW,     ,40.40N,091.19W,221,US
IA GRINNELL REG    ,KGGI,GGI,     ,41.43N,092.44W,307,US
IA HARLAN MUNI     ,KHNR,HNR,     ,41.35N,095.20W,375,US
IA INDEPENDENCE    ,KIIB,IIB,     ,42.27N,091.57W,298,US
IA IOWA CITY       ,KIOW,IOW,     ,41.38N,091.33W,198,US
IA IOWA FALLS MUNI ,KIFA,IFA,     ,42.28N,093.16W,347,US
IA JOHNSTON/DESMOIN,KDMX,DMX,     ,41.44N,093.43W,299,US
IA KEOKUK MUNI     ,KEOK,EOK,     ,40.28N,091.25W,205,US
IA KNOXVILLE       ,KOXV,OXV,     ,41.17N,093.07W,283,US
IA LAMONI          ,KLWD,LWD,     ,40.38N,093.54W,346,US
IA LAMONI          ,KLMN,LMN,     ,40.36N,093.58W,348,US
IA LE MARS         ,KLRJ,LRJ,     ,42.46N,096.12W,365,US
IA MARSHALLTOWN    ,KMIW,MIW,     ,42.07N,092.55W,296,US
IA MASON CITY      ,KMCW,MCW,     ,43.09N,093.20W,369,US
IA MONTICELLO MUNI ,KMXO,MXO,     ,42.13N,091.10W,259,US
IA MT PLEASANT     ,KMPZ,MPZ,     ,40.57N,091.31W,224,US
IA MUSCATINE       ,KMUT,MUT,     ,41.22N,091.09W,167,US
IA NEWTON MUNI     ,KTNU,TNU,     ,41.40N,093.01W,290,US
IA OELWEN          ,KOLZ,OLZ,     ,42.40N,091.58W,328,US
IA ORANGE CITY     ,KORC,ORC,     ,42.58N,096.04W,431,US
IA OSCEOLA MUNI    ,KI75,I75,     ,41.03N,093.41W,339,US
IA OSKALOOSA MUNI  ,KOOA,OOA,     ,41.14N,092.30W,256,US
IA OTTUMWA         ,KOTM,OTM,     ,41.06N,092.27W,256,US
IA PELLA           ,KPEA,PEA,     ,41.24N,092.57W,270,US
IA PERRY MUNI      ,KPRO,PRO,     ,41.50N,094.10W,308,US
IA RED OAK         ,KRDK,RDK,     ,41.01N,095.16W,318,US
IA SHELDON         ,KSHL,SHL,     ,43.13N,095.49W,432,US
IA SHENANDOAH MUNI ,KSDA,SDA,     ,40.45N,095.25W,296,US
IA SIOUX CITY      ,KSUX,SUX,72557,42.23N,096.23W,338,US
IA SLATER PROFILER ,    ,SLA,74449,41.53N,093.41W,315,US
IA SPENCER         ,KSPW,SPW,72650,43.10N,095.13W,403,US
IA STORM LAKE      ,KSLB,SLB,     ,42.36N,095.13W,454,US
IA VINTON          ,KVTI,VTI,     ,42.13N,092.01W,255,US
IA WASHINGTON      ,KAWG,AWG,     ,41.16N,091.40W,230,US
IA WATERLOO        ,KALO,ALO,72548,42.33N,092.24W,264,US
IA WEBSTER CITY    ,KEBS,EBS,     ,42.25N,093.52W,342,US
IA LAMONI          ,K0Y7,0Y7,     ,40.38N,093.54W,346,US
IA LAMONI          ,K3OI,3OI,     ,40.37N,093.57W,342,US
IA SPENCER         ,K3SE,3SE,     ,43.10N,095.09W,404,US
IA ADAIR I80       ,XADA,   ,     ,41.29N,094.43W,450,US
IA ALGONA US18     ,XALG,   ,     ,43.05N,094.23W,337,US
IA ALTON IA10      ,XATN,   ,     ,42.49N,096.05W,430,US
IA ALTOONA I80/US65,XALT,   ,     ,41.40N,093.31W,262,US
IA AMES I35        ,XAME,   ,     ,42.02N,093.34W,313,US
IA ANKENY I35      ,XANK,   ,     ,41.46N,093.34W,264,US
IA AVOCA I80       ,XAVO,   ,     ,41.29N,095.17W,377,US
IA BURLINGTON US34 ,XBUR,   ,     ,40.49N,091.05W,218,US
IA CARROLL US30    ,XCAR,   ,     ,42.05N,094.53W,389,US
IA CEDAR RAPIDS 380,XCDR,   ,     ,41.49N,091.40W,236,US
IA CEDAR RAPID US30,XCID,   ,     ,41.56N,091.41W,246,US
IA CENTERVILLE IA2 ,XCEN,   ,     ,40.44N,093.00W,295,US
IA COUNCIL BLUFF 80,XCOU,   ,     ,41.14N,095.52W,268,US
IA CRESTON US34    ,XCRE,   ,     ,41.04N,094.18W,388,US
IA DAVENPORT 80/280,XDAV,   ,     ,41.36N,090.41W,206,US
IA DECORAH IA9     ,XDEC,   ,     ,43.14N,091.41W,310,US
IA DES MOINES I35  ,XDSM,   ,     ,41.32N,093.46W,224,US
IA DES MOINES I235 ,XDES,   ,     ,41.35N,093.37W,281,US
IA DE SOTO 80/US169,XDST,   ,     ,41.32N,094.06W,291,US
IA DE WITT US30/61 ,XDEW,   ,     ,41.50N,090.34W,240,US
IA DUBUQUE US20    ,XDUB,   ,     ,42.29N,090.44W,250,US
IA FORT DODGE US20 ,XFOD,   ,     ,42.26N,094.11W,286,US
IA GRINNELL I80    ,XGRI,   ,     ,41.41N,092.44W,281,US
IA IOWA CITY US218 ,XIAC,   ,     ,41.38N,091.35W,254,US
IA IOWA CITY I80   ,XIOW,   ,     ,41.41N,091.35W,250,US
IA JEFFERSON IA4   ,XJEF,   ,     ,42.03N,094.23W,310,US
IA LEON I35/IA2    ,XLEO,   ,     ,40.44N,093.50W,349,US
IA MANCHESTER US20 ,XMAN,   ,     ,42.26N,091.26W,309,US
IA MAQUOKETA 61/64 ,XMAQ,   ,     ,42.04N,090.41W,251,US
IA MARSHALTOWN US30,XMAR,   ,     ,42.01N,092.58W,291,US
IA MASON CITY I35  ,XMCW,   ,     ,43.02N,093.20W,376,US
IA MISSOURI VAL I29,XMIS,   ,     ,41.32N,095.55W,309,US
IA MT PLEASANT U218,XMOU,   ,     ,40.53N,091.33W,133,US
IA NEW HAMPTON US18,XNEW,   ,     ,43.02N,092.28W,327,US
IA ONAWA I29       ,XONA,   ,     ,41.52N,096.01W,303,US
IA OSCEOLA I35     ,XOSC,   ,     ,41.02N,093.47W,334,US
IA OTTUMWA US63    ,XOTT,   ,     ,41.01N,092.25W,196,US
IA PELLA IA163     ,XPEL,   ,     ,41.23N,092.52W,271,US
IA RED OAK US34/71 ,XRED,   ,     ,40.59N,094.59W,290,US
IA SIDNEY I29/IA2  ,XSID,   ,     ,40.41N,095.47W,287,US
IA SIGOURNEY IA92  ,XSIG,   ,     ,41.20N,092.19W,202,US
IA SIOUX CITY I29  ,XSIO,   ,     ,42.29N,096.23W,364,US
IA SPENCER US18    ,XSPE,   ,     ,43.08N,095.05W,452,US
IA STORM LAKE 71/3 ,XSTO,   ,     ,42.44N,095.09W,405,US
IA TIPTON I80      ,XTIP,   ,     ,41.38N,091.08W,236,US
IA URBANA I380     ,XURB,   ,     ,42.19N,091.59W,302,US
IA WATERLOO US20   ,XWAT,   ,     ,42.27N,092.19W,269,US
IA WILLIAMS I35    ,XWIL,   ,     ,42.32N,093.34W,325,US
IA WILLAIMSBURG I80,XWBG,   ,     ,41.41N,092.01W,260,US
IA HANLONTOWN I35  ,XHAN,   ,     ,43.23N,093.20W,333,US
IA STEAMBOAT R US20,XSBI,   ,     ,42.27N,093.03W,348,US
IA IDA GROVE US59  ,XIGI,   ,     ,42.21N,095.29W,376,US
IA CEDAR RAPIDS U30,XCRI,   ,     ,41.56N,091.33W,232,US
IA BEDFORD         ,XBFI,   ,     ,40.41N,094.43W,357,US
IA COLFAX          ,XCFI,   ,     ,41.41N,093.16W,247,US
IA EDDYVILLE       ,XDYI,   ,     ,41.09N,092.39W,244,US
IA SIBLEY          ,XSYI,   ,     ,43.26N,095.43W,480,US
IA TAMA            ,XTMI,   ,     ,41.58N,092.18W,250,US
IA CANTRIL         ,XCTI,   ,     ,40.40N,092.04W,211,US
IA DENISON         ,XDNI,   ,     ,41.55N,095.20W,426,US
IA PLAINFIELD      ,XPFI,   ,     ,42.50N,092.32W,294,US
IA QUAD CITIES     ,XQCI,   ,     ,41.31N,090.31W,177,US
IA STATE FAIR      ,Q03I,   ,     ,41.36N,093.34W,333,US
IA ADAIR           ,QADI,   ,     ,41.31N,094.35W,417,US
IA ADEL            ,QAEI,   ,     ,41.37N,094.01W,292,US
IA AFTON           ,QAFI,   ,     ,41.02N,094.11W,387,US
IA ALGONA          ,QAGI,   ,     ,43.04N,094.14W,341,US
IA ANKENY          ,QAKI,   ,     ,41.44N,093.37W,310,US
IA ALBIA           ,QALI,   ,     ,41.02N,092.49W,312,US
IA AMES            ,QAMI,   ,     ,42.03N,093.38W,309,US
IA ANITA           ,QATI,   ,     ,41.27N,094.46W,387,US
IA AUDUBON         ,QAUI,   ,     ,41.43N,094.55W,426,US
IA BEDFORD         ,QBDI,   ,     ,40.40N,094.43W,350,US
IA BELMOND         ,QBKI,   ,     ,42.51N,093.36W,372,US
IA BLOOMFIELD      ,QBMI,   ,     ,40.45N,092.25W,260,US
IA BOONE           ,QBOI,   ,     ,42.02N,093.47W,353,US
IA BROOKLYN        ,QBRI,   ,     ,41.44N,092.27W,280,US
IA BUSSEY          ,QBSI,   ,     ,41.13N,092.53W,265,US
IA BAXTER          ,QBXI,   ,     ,41.50N,093.09W,304,US
IA BLANK PARK ZOO  ,QBZI,   ,     ,41.32N,093.37W,294,US
IA CARROLL         ,QCAI,   ,     ,42.04N,094.52W,423,US
IA COON RAPIDS     ,QCBI,   ,     ,41.53N,094.41W,386,US
IA CHARLES CITY    ,QCCI,   ,     ,43.04N,092.40W,304,US
IA CORYDON         ,QCDI,   ,     ,40.45N,093.19W,331,US
IA CENTERVILLE     ,QCEI,   ,     ,40.44N,092.52W,299,US
IA CLARION         ,QCGI,   ,     ,42.44N,093.44W,377,US
IA CHARITON        ,QCHI,   ,     ,41.01N,093.19W,332,US
IA CLEAR LAKE      ,QCKI,   ,     ,43.08N,093.22W,368,US
IA CRESCO          ,QCQI,   ,     ,43.23N,092.06W,390,US
IA CORNING         ,QCNI,   ,     ,40.59N,094.44W,390,US
IA COLO            ,QCOI,   ,     ,42.01N,093.19W,315,US
IA CRESTON         ,QCRI,   ,     ,41.04N,094.22W,417,US
IA INWOOD          ,QCSI,   ,     ,43.19N,096.26W,449,US
IA DSM CHRISTIAN   ,QDCI,   ,     ,41.38N,093.48W,279,US
IA SHELDON         ,QDNI,   ,     ,43.11N,095.50W,433,US
IA RIVER WOODS     ,QDRI,   ,     ,41.34N,093.35W,304,US
IA EAGLE GROVE     ,QEGI,   ,     ,42.40N,093.55W,339,US
IA FARNHAMVILLE    ,QFAI,   ,     ,42.20N,094.25W,374,US
IA FOREST CITY     ,QFCI,   ,     ,43.16N,093.39W,384,US
IA FORT DODGE      ,QFDI,   ,     ,42.31N,094.11W,353,US
IA FONTANELLE      ,QFOI,   ,     ,41.17N,094.34W,423,US
IA GLIDDEN         ,QGLI,   ,     ,42.04N,094.44W,387,US
IA GARNER          ,QGNI,   ,     ,43.05N,093.37W,373,US
IA GRIMES          ,QGRI,   ,     ,41.41N,093.48W,310,US
IA HULL            ,QHII,   ,     ,43.11N,096.08W,436,US
IA HAMPTON         ,QHPI,   ,     ,42.45N,093.11W,328,US
IA HUMBOLDT        ,QHUI,   ,     ,42.43N,094.14W,379,US
IA ICA             ,QIAI,   ,     ,41.35N,093.44W,285,US
IA IOWA FALLS      ,QIFI,   ,     ,42.32N,093.16W,376,US
IA INDIANOLA       ,QINI,   ,     ,41.22N,093.33W,310,US
IA JORDAN CREEK    ,QJCI,   ,     ,41.34N,093.46W,283,US
IA JEFFERSON       ,QJEI,   ,     ,42.00N,094.23W,338,US
IA SOUTH HAMILTON  ,QJWI,   ,     ,42.18N,093.39W,340,US
IA KCCI            ,QKCI,   ,     ,41.35N,093.38W,274,US
IA KNOXVILLE       ,QKNI,   ,     ,41.19N,093.07W,301,US
IA KANAWHA         ,QKWI,   ,     ,42.56N,093.47W,369,US
IA LEON            ,QLEI,   ,     ,40.45N,093.44W,365,US
IA LATIMER         ,QLMI,   ,     ,42.45N,093.22W,398,US
IA LAMONI          ,QLOI,   ,     ,40.38N,093.56W,359,US
IA LUVERNE         ,QLUI,   ,     ,42.55N,094.05W,360,US
IA ROCK RAPIDS     ,QLYI,   ,     ,43.25N,096.10W,410,US
IA MARSHALLTOWN    ,QMAI,   ,     ,42.01N,092.55W,314,US
IA MADRID          ,QMDI,   ,     ,41.53N,093.49W,310,US
IA LAKE MILLS      ,QMII,   ,     ,43.25N,093.32W,393,US
IA MALLARD         ,QMLI,   ,     ,42.56N,094.41W,387,US
IA MONTEZUMA       ,QMNI,   ,     ,41.35N,092.31W,309,US
IA MOUNT AYR       ,QMOI,   ,     ,40.43N,094.14W,396,US
IA MANSON-NW       ,QMSI,   ,     ,42.30N,094.22W,368,US
IA MURRAY          ,QMUI,   ,     ,41.02N,093.57W,365,US
IA MASON CITY      ,QMWI,   ,     ,43.08N,093.14W,357,US
IA MASON CITY      ,QMYI,   ,     ,43.09N,093.10W,335,US
IA NEWTON          ,QNEI,   ,     ,41.42N,093.02W,305,US
IA THOMPSON        ,QNII,   ,     ,43.22N,093.42W,384,US
IA NORTHWOOD       ,QNKI,   ,     ,43.27N,093.12W,371,US
IA NORA SPRINGS    ,QNSI,   ,     ,43.09N,093.00W,332,US
IA NEVADA          ,QNVI,   ,     ,42.01N,093.26W,313,US
IA OSAGE           ,QOAI,   ,     ,43.17N,092.49W,353,US
IA OSKALOOSA       ,QOCI,   ,     ,41.18N,092.39W,245,US
IA OGDEN           ,QOGI,   ,     ,42.02N,094.02W,332,US
IA OSCEOLA         ,QOSI,   ,     ,41.02N,093.46W,353,US
IA PANORA          ,QPAI,   ,     ,41.42N,094.22W,356,US
IA PELLA           ,QPEI,   ,     ,41.25N,092.54W,289,US
IA NORTH POLK      ,QPKI,   ,     ,41.47N,093.43W,286,US
IA PERRY           ,QPYI,   ,     ,41.50N,094.05W,312,US
IA MASON CITY      ,QRMI,   ,     ,43.08N,093.06W,328,US
IA ROCKWELL CITY   ,QROI,   ,     ,42.23N,094.38W,384,US
IA ROCKFORD        ,QRRI,   ,     ,43.03N,092.56W,316,US
IA ROCKWELL        ,QRSI,   ,     ,42.59N,093.06W,351,US
IA RUSSELL         ,QRUM,   ,     ,44.19N,095.57W,466,US
IA RICEVILLE       ,QRVI,   ,     ,43.21N,092.30W,382,US
IA ST ANSGAR       ,QSAI,   ,     ,43.22N,092.55W,358,US
IA SIBLEY          ,QSBI,   ,     ,43.24N,095.45W,462,US
IA STUART          ,QSTI,   ,     ,41.30N,094.19W,367,US
IA SULLY           ,QSUI,   ,     ,41.34N,092.50W,289,US
IA TITONKA         ,QTKI,   ,     ,43.14N,094.02W,348,US
IA MESKWAKI SS TAMA,QTQI,   ,     ,41.59N,092.39W,256,US
IA UNION           ,QUNI,   ,     ,42.14N,093.04W,301,US
IA VENTURA         ,QVTI,   ,     ,43.08N,093.29W,386,US
IA WALL LAKE       ,QWAI,   ,     ,42.16N,095.06W,426,US
IA WEBSTER CITY    ,QWBI,   ,     ,42.28N,093.49W,345,US
IA WOODWARD        ,QWGI,   ,     ,41.52N,093.55W,291,US
IA WINTERSET       ,QWII,   ,     ,41.20N,094.01W,356,US
IA POCAHONTAS      ,QPCI,   ,     ,42.44N,094.40W,372,US
ID ADA COUNTY/BOISE,KCBX,CBX,     ,43.29N,116.14W,933,US
ID BOISE           ,KBOI,BOI,72681,43.34N,116.14W,875,US
ID BURLEY          ,KBYI,BYI,     ,42.33N,113.46W,1264,US
ID BONNERS FERRY   ,K65S,65S,     ,48.44N,116.18W,713,US
ID CALDWELL        ,KEUL,EUL,     ,43.37N,116.37W,740,US
ID CHALLIS         ,KLLJ,LLJ,     ,44.31N,114.13W,1536,US
ID COEUR D'ALENE   ,KCOE,COE,     ,47.46N,116.49W,707,US
ID DRIGGS REED MEM ,KDIJ,DIJ,     ,43.45N,111.06W,1899,US
ID DUBIOS (VOR)    ,KDBS,DBS,     ,44.05N,112.13W,1638,US
ID GRANGEVILLE     ,KGIC,GIC,72687,45.56N,116.08W,1009,US
ID HAILEY/FRIEDMAN ,KSUN,SUN,     ,43.30N,114.17W,1620,US
ID IDAHO FALLS     ,KIDA,IDA,     ,43.31N,112.04W,1453,US
ID JEROME COUNTY   ,KJER,JER,     ,42.43N,114.27W,1222,US
ID LEWISTON        ,KLWS,LWS,72783,46.22N,117.01W,438,US
ID LOWELL/ELK CITY ,KP69,P69,     ,46.09N,115.36W,480,US
ID MALAD CITY      ,KMLD,MLD,     ,42.10N,112.17W,1373,US
ID MALTA (AWRS)    ,K77M,77M,     ,42.19N,113.19W,1375,US
ID MCCALL          ,KMYL,MYL,     ,44.54N,116.06W,1533,US
ID MCCALL (VOR)    ,KDNJ,DNJ,     ,44.46N,116.13W,2433,US
ID MOUNTAIN HOME   ,KMUO,MUO,     ,43.02N,115.52W,913,US
ID MULLAN PASS     ,KMLP,MLP,     ,47.27N,115.40W,1837,US
ID NAMPA           ,KMAN,MAN,     ,43.35N,116.31W,774,US
ID POCATELLO       ,KPIH,PIH,72578,42.55N,112.34W,1359,US
ID REXBURG         ,KRXE,RXE,     ,43.50N,111.48W,1480,US
ID SALMON/VOR      ,KLKT,LKT,     ,45.01N,114.05W,2822,US
ID SALMON/LEMHI    ,KSMN,SMN,72686,45.07N,113.52W,1233,US
ID SODA SPRINGS    ,KU78,U78,     ,42.38N,111.34W,1780,US
ID SPENCER         ,KS14,S14,     ,44.21N,112.10W,1800,US
ID SPRINGFIELD/PIH ,KSFX,SFX,     ,43.06N,112.41W,1364,US
ID STANLEY         ,KSNT,SNT,     ,44.10N,114.56W,1980,US
ID TWIN FALLS      ,KTWF,TWF,     ,42.29N,114.29W,1266,US
ID WALL/SANDPOINT  ,KSZT,SZT,     ,48.18N,116.34W,648,US
ID CALDWELL (AWOS) ,KU35,U35,     ,43.37N,116.37W,740,US
ID CHALLIS         ,KU15,U15,     ,44.31N,114.13W,1536,US
ID GOODING         ,KGNG,GNG,72586,42.55N,114.46W,1126,US
ID JEROME          ,KU73,U73,     ,42.44N,114.27W,1222,US
ID MULLAN (AWRS)   ,KS06,S06,     ,47.28N,115.47W,1011,US
ID REXBURG         ,KU11,U11,     ,43.50N,111.48W,1480,US
ID SALMON (AWRS)   ,K27U,27U,     ,45.10N,113.54W,1210,US
ID SAYLOR CREEK    ,KMI1,MI1,     ,42.30N,115.30W,1000,US
ID GRANGEVILLE     ,KS80,S80,     ,45.57N,116.07W,1011,US
IL ALTON/ST LOUIS R,KALN,ALN,     ,38.53N,090.02W,166,US
IL BLOOMINGTON/NORM,KBMI,BMI,     ,40.28N,088.55W,267,US
IL BRADFORD/VOR    ,KBDF,BDF,     ,41.09N,089.35W,247,US
IL CAHOKIA/ST LOUIS,KCPS,CPS,     ,38.34N,090.09W,126,US
IL CAIRO           ,KCIR,CIR,     ,37.04N,089.13W,98,US
IL CARBONDALE/MURPH,KMDH,MDH,     ,37.47N,089.15W,130,US
IL CARMI MUNI      ,KCUL,   ,     ,38.05N,088.07W,118,US
IL CENTRALIA       ,KENL,ENL,     ,38.31N,089.06W,163,US
IL CHAMPAIGN/URBANA,KCMI,CMI,     ,40.02N,088.16W,228,US
IL CHICAGO         ,KMDW,MDW,72534,41.47N,087.45W,188,US
IL CHICAGO O'HARE  ,KORD,ORD,72530,41.59N,087.56W,200,US
IL CHICAGO/AURORA  ,KARR,ARR,74465,41.46N,088.29W,215,US
IL CHICAGO/DUPAGE  ,KDPA,DPA,     ,41.55N,088.15W,231,US
IL CHICAGO/MEIGS   ,KCGX,CGX,     ,41.52N,087.35W,181,US
IL CHICAGO/LANSING ,KIGQ,IGQ,     ,41.32N,087.32W,188,US
IL CHICAGO/ARTCC   ,KZAU,ZAU,     ,41.47N,088.20W,213,US
IL DANVILLE        ,KDNV,DNV,     ,40.12N,087.36W,212,US
IL DECATUR         ,KDEC,DEC,     ,39.50N,088.51W,207,US
IL DECATUR         ,KAXC,AXC,     ,39.50N,088.51W,207,US
IL DE KALB         ,KDKB,DKB,     ,41.56N,088.42W,279,US
IL DIXON           ,KC73,C73,     ,41.50N,089.27W,240,US
IL EFFINGHAM       ,K1H2,1H2,     ,39.04N,088.32W,179,US
IL FAIRFIELD       ,KFWC,FWC,     ,38.23N,088.25W,133,US
IL FREEPORT        ,KFEP,FEP,     ,42.15N,089.35W,262,US
IL FLORA           ,KFOA,FOA,     ,38.40N,088.27W,144,US
IL GALESBURG       ,KGBG,GBG,     ,40.56N,090.26W,233,US
IL GREENVILLE      ,KGRE,GRE,     ,38.50N,089.23W,165,US
IL HARRISBURG      ,KHSB,HSB,     ,37.49N,088.33W,121,US
IL JACKSONVILLE    ,KIJX,IJX,     ,39.46N,090.15W,190,US
IL JOLIET          ,KJOT,JOT,     ,41.31N,088.11W,177,US
IL KANKAKEE        ,KIKK,IKK,     ,41.04N,087.51W,192,US
IL LACON           ,KC75,C75,     ,41.01N,089.23W,173,US
IL LAWRENCEVILLE   ,KLWV,LWV,     ,38.46N,087.36W,131,US
IL LINCOLN         ,KILX,ILX,74560,40.09N,089.20W,177,US
IL LINCOLN         ,KAAA,AAA,     ,40.10N,089.20W,182,US
IL LITCHFIELD MUNI ,K3LF,3LF,     ,39.10N,089.40W,210,US
IL MACOMB MUNI     ,KMQB,MQB,     ,40.31N,090.39W,215,US
IL MARION REGIONAL ,KMWA,MWA,     ,37.46N,089.01W,144,US
IL MARSEILLES      ,KMMO,MMO,74460,41.22N,088.40W,225,US
IL MATTOON/CHARLEST,KMTO,MTO,     ,39.28N,088.16W,214,US
IL METROPOLIS      ,KM30,M30,     ,37.11N,088.45W,117,US
IL MOLINE/QUAD CITY,KMLI,MLI,72544,41.27N,090.31W,184,US
IL MONEE           ,KC56,C56,     ,41.23N,087.41W,241,US
IL MORRIS-WASHBURN ,KC09,C09,     ,41.26N,088.25W,178,US
IL MOUNT CARMEL    ,KAJG,AJG,     ,38.37N,087.44W,131,US
IL MOUNT STERLING  ,KI63,I63,     ,39.59N,090.48W,224,US
IL MOUNT VERNON    ,KMVN,MVN,     ,38.19N,088.52W,146,US
IL OLNEY-NOBLE     ,KOLY,OLY,     ,38.43N,088.11W,147,US
IL PALWAUKEE       ,KPWK,PWK,     ,42.07N,087.54W,203,US
IL PEORIA          ,KPIA,PIA,72532,40.40N,089.41W,205,US
IL PARIS           ,KPRG,PRG,     ,39.42N,087.40W,199,US
IL PERU            ,KVYS,VYS,     ,41.21N,089.09W,199,US
